sample_index,captured_at_utc,health_status,positions_status,audit_status,telegram_status,paper_positions_count,paper_orders_count,paper_order_events_count,paper_position_events_count,latest_paper_position_status,latest_paper_order_status,process_alive
1,2026-04-22T13:09:42.5427047Z,200,200,200,200,0,0,0,0,,,True
2,2026-04-22T13:10:59.8795760Z,200,200,200,200,0,0,0,0,,,True
