sample,timestamp,health_status,overview_status,kpi_status,ranking_status,positions_status,invalidation_status,audit_status,telegram_status,recent_cycles,paper_would_enter,paper_would_block,paper_orders_created,paper_orders_filled,paper_positions_opened,paper_positions_closed,open_paper_positions,paper_order_rows,exit_advisory_records,command_intent_records,selection_rate,top_block_reason,top_block_count,top_position_status,top_position_status_count,top_ranking_market,top_ranking_score,telegram_pending_intents,telegram_top_candidates,telegram_warnings
1,2026-04-22T17:09:44.8391779+03:00,200,200,200,200,200,200,200,200,5,5,39,5,5,5,0,10,10,44,44,0.1,same_market_exposure_1_meets_exceeds_live_max_same_market_exposu,39,OPEN,11,,,0,3,0
2,2026-04-22T17:12:17.4668366+03:00,200,200,200,200,200,200,200,200,5,5,48,5,5,5,0,10,10,53,53,0.1,same_market_exposure_1_meets_exceeds_live_max_same_market_exposu,48,OPEN,13,,,0,3,0
3,2026-04-22T17:14:51.5424834+03:00,200,200,200,200,200,200,200,200,5,5,52,5,5,5,0,10,10,57,57,0.1,same_market_exposure_1_meets_exceeds_live_max_same_market_exposu,52,OPEN,14,,,0,3,0
4,2026-04-22T17:17:25.6524527+03:00,200,200,200,200,200,200,200,200,5,5,61,5,5,5,0,10,10,66,66,0.1,same_market_exposure_1_meets_exceeds_live_max_same_market_exposu,61,OPEN,16,,,0,3,0
5,2026-04-22T17:19:58.3373153+03:00,200,200,200,200,200,200,200,200,5,5,60,5,5,5,0,10,10,69,69,0.1,same_market_exposure_1_meets_exceeds_live_max_same_market_exposu,60,OPEN,16,,,0,3,0
6,2026-04-22T17:22:31.6734213+03:00,200,200,200,200,200,200,200,200,5,5,68,5,5,5,0,10,10,77,77,0.1,same_market_exposure_1_meets_exceeds_live_max_same_market_exposu,68,OPEN,18,,,0,3,0
