sample,timestamp,health_status,overview_status,kpi_status,ranking_status,positions_status,invalidation_status,telegram_status,opportunities_seen,paper_signals_created,paper_orders_created,paper_orders_filled,paper_positions_opened,selection_rate,fill_rate
1,2026-04-22T13:44:42Z,200,200,200,200,200,200,200,12500,100,0,0,0,0.0,
2,2026-04-22T13:45:59Z,200,200,200,200,200,200,200,12500,100,0,0,0,0.0,
